variable,term,initial_a,initial_b,initial_c,initial_d,optimized_a,optimized_b,optimized_c,optimized_d
Age,adolescente,10.0,10.0,17.0,20.0,10.04232230934553,10.178418435230483,13.77225576813586,15.309043338352689
Age,adulta,18.0,22.0,34.0,40.0,13.94483611803742,22.710217944680366,33.780056913102285,39.19509075699877
Age,avanzada,35.0,40.0,75.0,75.0,34.9144957628191,40.095002940119784,74.99934424138225,74.99999964717372
SystolicBP,baja,65.0,65.0,85.0,95.0,65.04135005036379,65.34410362899439,84.43825955111376,92.02086271793648
SystolicBP,normal,90.0,100.0,120.0,130.0,84.3023103841347,100.1377473619778,119.03086598853929,128.80101910227427
SystolicBP,limitrofe,125.0,130.0,138.0,145.0,125.02054061496075,130.22202518173214,136.9924055592118,140.42036601213462
SystolicBP,alta,140.0,145.0,155.0,165.0,137.8566750962982,145.05652591178875,154.89415547621718,162.1624229062099
SystolicBP,severa,158.0,160.0,170.0,170.0,159.7261034289504,160.81072732732076,169.79460685661914,169.99062594265175
DiastolicBP,baja,45.0,45.0,55.0,60.0,45.0,45.037682553075584,54.53457135277068,59.05194153577733
DiastolicBP,normal,55.0,60.0,75.0,85.0,55.96765319616965,60.58154210844468,81.95054853571796,85.66678947713368
DiastolicBP,limitrofe,80.0,84.0,89.0,92.0,83.45031753104385,84.84365263211373,88.80785084365985,91.62196688865565
DiastolicBP,alta,90.0,95.0,105.0,112.0,89.5206118733496,94.98434531556771,104.71166687861913,111.70733164856614
DiastolicBP,severa,108.0,110.0,140.0,140.0,108.33365457499568,110.05991665807804,139.7203688707737,139.98308594944638
BS,normal,6.5,7.0,9.0,11.0,5.8280786003648695,7.093960860677963,8.477926975900663,9.10187398028383
BS,elevada,6.5,7.0,9.0,11.0,8.156101631936219,8.610867447992266,8.986960891265825,13.07178590554058
BS,muy_elevada,10.0,12.0,20.0,20.0,11.726186378965352,12.0538753098229,19.908022424747248,19.99716178173272
BodyTemp,normal,97.0,97.5,99.1,99.6,97.00890412553602,97.50679817220004,99.0746917393166,99.57918955262545
BodyTemp,subfebril_elevada,99.2,99.6,100.2,100.7,99.25027582782491,99.66694125241554,100.21111014012155,100.70310348154783
BodyTemp,fiebre,100.4,100.8,101.8,102.4,100.35716467413076,100.80697691530847,101.77330457352797,102.37935825667904
BodyTemp,fiebre_alta,102.0,102.4,104.0,104.0,101.88654267066609,102.45317349456278,103.97149547446563,103.99845482518924
HeartRate,baja,55.0,55.0,62.0,68.0,55.00055952848935,55.04035724984017,61.88001585088845,67.63124761278982
HeartRate,normal,64.0,70.0,80.0,86.0,64.36388766166006,70.57978434299426,79.63032433935656,86.26369121177983
HeartRate,elevada,82.0,86.0,100.0,100.0,82.15501177417894,85.9393023482749,94.87850962729772,96.4599268064951
HeartRate,taquicardia,90.0,94.0,100.0,100.0,95.76271132750341,96.16513501897516,97.49685478951831,98.33962671167224
HeartRate,taquicardia_marcada,95.0,98.0,100.0,100.0,97.6699011933323,98.90995618570844,99.89323825624146,99.98953924841692
